Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,13,2.6%
Failed,487,97.4%
,,
Avg Steps Taken,12.7 steps,
Min Steps,1 steps,
Max Steps,57 steps,
Reached End,187,37.4%
No Legal Actions,313,62.6%
,,
Difficulty 1 Solved,7/86,8.1%
Difficulty 2 Solved,3/118,2.5%
Difficulty 3 Solved,2/121,1.7%
Difficulty 4 Solved,1/86,1.2%
Difficulty 5 Solved,0/89,0.0%
,,
Total Time,32224.9 seconds,
Avg Time per Puzzle,64.45 seconds,
Puzzles per Minute,0.9,
