Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,21,4.2%
Failed,479,95.8%
,,
Avg Steps Taken,55.3 steps,
Min Steps,1 steps,
Max Steps,100 steps,
Reached End,324,64.8%
No Legal Actions,176,35.2%
,,
Difficulty 1 Solved,11/86,12.8%
Difficulty 2 Solved,5/118,4.2%
Difficulty 3 Solved,4/121,3.3%
Difficulty 4 Solved,1/86,1.2%
Difficulty 5 Solved,0/89,0.0%
,,
Total Time,68046.9 seconds,
Avg Time per Puzzle,136.09 seconds,
Puzzles per Minute,0.4,
